Sample,DistributedLatency_ms,IntegratedLatency_ms,DistributedDeadlineMiss,IntegratedDeadlineMiss
1,21.9483746247064,19.7537220127364,0,0
2,21.1177724520324,22.6078891872055,0,0
3,22.6245865896718,22.5478070765878,0,0
4,20.7347835953514,21.8923694770664,0,0
5,23.1825287383595,13.2094771828678,0,0
6,20.8675451812426,23.7817092295885,0,0
7,24.1197130695219,24.6537967340762,0,0
8,24.4132526846565,18.0063415602812,0,0
9,24.4265037159609,21.3584818074902,0,0
10,21.5976908606272,19.8754229234873,0,0
11,21.143862676486,19.2472870163139,0,0
12,21.1077473627174,24.4937430830964,0,0
13,22.9525102557885,25.0539192787829,0,1
14,17.3489706289793,20.4952301560002,0,0
15,19.8556082420193,21.2024883739409,0,0
16,20.4785598049829,24.9469088734524,0,0
17,19.7339111419683,19.8703508160467,0,0
18,21.5676845425409,21.170947968022,0,0
19,23.9547788737022,23.7419188520363,0,0
20,21.0908203985654,23.7668225628478,0,0
21,19.8481722060921,22.5261179449184,0,0
22,20.2057280799081,27.6317659329755,0,1
23,18.0464468642517,24.1897465721546,0,0
24,24.7000357749745,16.1380024199462,0,0
25,21.8714154461112,24.3595901199421,0,0
26,23.4731336216039,25.5267872464195,0,1
27,27.9516556334436,20.862681521373,1,0
28,23.4305926006256,19.1478270703419,0,0
29,21.140587144071,17.0654806170855,0,0
30,19.7008536188063,25.9327583233683,0,1
31,24.5310824150241,23.3997029922004,0,0
32,21.4696892943058,21.6236086932429,0,0
33,24.5240424360611,24.6287159360599,0,0
34,19.1501776974307,22.9719946057361,0,0
35,21.1727155378607,21.4552995265285,0,0
36,20.662036023799,26.1376172264445,0,1
37,22.4075287082456,18.4099396519833,0,0
38,20.492076745754,18.575815616125,0,0
39,24.8508207649253,21.3107611637551,0,0
40,19.2411360794618,27.670159896272,0,1
41,21.9300419875072,20.228167376794,0,0
42,20.9782174247997,30.2898235793112,0,1
43,17.4680347883888,15.7890855455891,0,0
44,25.5384224322866,16.0174833536416,1,0
45,24.2305245714312,23.6028896099372,0,0
46,20.9518027479419,13.9112664937393,0,0
47,18.3981646308642,28.2264575050789,0,1
48,21.4810482489528,27.4027908628985,0,1
49,22.6616734186821,24.0702407523562,0,0
50,22.8892536131327,14.7363627050283,0,0
51,18.9674482354707,20.9259913546492,0,0
52,24.1238141643336,19.9709948327368,0,0
53,23.2460603312388,23.981476428934,0,0
54,25.765855644046,26.0451032200701,1,1
55,19.7070293786639,25.8140587437926,0,1
56,24.5937768295775,18.9126317888232,0,0
57,26.6585610804637,19.6668170013803,1,0
58,21.1547578612281,31.0251467860205,0,1
59,22.2136614159991,22.6124614174402,0,0
60,20.270463359184,19.3331423142823,0,0
61,25.3404508048071,20.0161330554822,1,0
62,20.3814779947286,23.1766199747537,0,0
63,27.127136690576,21.387258564769,1,0
64,19.117356858728,23.5048962440067,0,0
65,21.4843828715226,26.4741988158865,0,1
66,21.5314519326207,24.6174025664685,0,0
67,22.8089644749266,27.3618072510672,0,1
68,23.9029099495205,16.4368908972713,0,0
69,20.1450421316852,22.4011860155583,0,0
70,26.2084364709427,22.136572724353,1,0
71,25.0846920282319,21.4241027130431,1,0
72,19.3322913786215,22.7913496426761,0,0
73,21.2982604694112,21.8209328237633,0,0
74,28.3048829934774,20.0817099414147,1,0
75,19.8189521180845,19.1464544043278,0,0
76,26.1201099488628,21.2319264161154,1,0
77,20.4958603877491,26.2332585517918,0,1
78,24.8040401773885,14.7120448078716,0,0
79,25.4941562963799,18.0855327817638,1,0
80,25.4804597139765,24.3667451689223,1,0
81,18.119563965283,21.7927791241953,0,0
82,25.2663887437666,16.2375150086256,1,0
83,20.0139069271569,22.2202091551081,0,0
84,22.9061488134006,23.9401726022962,0,0
85,16.7054938121428,21.5530696175446,0,0
86,23.1755042928219,21.2986766785473,0,0
87,20.4836836857289,16.1427070504849,0,0
88,25.1321921106982,24.9993570829495,1,0
89,23.6500830932287,20.2905508932182,0,0
90,22.7646642378664,28.4491789560598,0,1
91,24.4218703233731,18.7043159752467,0,0
92,20.5847930608543,20.1784269982392,0,0
93,23.9798625359601,21.2191822633683,0,0
94,22.6795142473298,25.5440817379087,0,1
95,18.8545111682592,24.2109174303978,0,0
96,19.9181579118315,20.3938749722769,0,0
97,19.3334845090842,23.2747552377762,0,0
98,22.3830951143069,21.5992019300894,0,0
99,25.8149510407353,26.792383986798,1,1
100,21.8634529386907,19.4813500810157,0,0
101,20.239005228114,22.0760795664152,0,0
102,21.0607730457693,25.9515675281101,0,1
103,20.8551368455021,25.0628129269451,0,1
104,20.0029597690628,20.6935862799642,0,0
105,21.4726023850431,28.7868518756236,0,1
106,22.7853868436696,21.2267128482331,0,0
107,21.4870530382637,27.8162228217422,0,1
108,16.6456824683495,22.9962166259192,0,0
109,16.4959107886539,19.5544918996177,0,0
110,21.710999326951,26.3189171329208,0,1
111,20.3751543443836,20.6483694900941,0,0
112,21.2974952539,20.6912470139366,0,0
113,24.0249046110688,26.3445648481297,0,1
114,26.860400393625,24.1989363504362,1,0
115,21.7227167584634,23.3797342483746,0,0
116,22.2163067928036,26.7422133749949,0,1
117,23.6528778731772,22.7484357531381,0,0
118,22.4264761495069,18.9367713186749,0,0
119,24.1652113015358,27.2259872111631,0,1
120,19.5890416644625,21.1133563857065,0,0
121,24.4461307426925,29.6999830008813,0,1
122,24.8418329230956,19.7469702283149,0,0
123,21.8523318068646,22.1576961351561,0,0
124,24.3637289091067,25.7527718357759,0,1
125,23.4957909267739,25.3589510719253,0,1
126,25.2816235718595,27.0215603234539,1,1
127,19.5883872996462,26.690756432859,0,1
128,23.4624338841682,22.7302924413134,0,0
129,23.9089376180858,21.5024427088794,0,0
130,24.534006822012,24.0503229786663,0,0
131,21.7640723010243,26.3135415668139,0,1
132,23.7710281862152,19.5435619285678,0,0
133,22.0222267711799,27.9537981098745,0,1
134,19.3554276768924,25.8997546005712,0,1
135,15.1880267829024,20.501200783783,0,0
136,21.946749692651,29.3265424573817,0,1
137,23.0598635071187,22.5258961411334,0,0
138,22.6392937653396,18.0069990327085,0,0
139,25.9228350208926,25.5499155864339,1,1
140,23.5471442164433,22.8721171457433,0,0
141,20.0789840571165,24.2372560246845,0,0
142,23.6845999967044,25.3687248113805,0,1
143,18.3362530565532,21.9077875059204,0,0
144,25.7465920155202,17.0197790303708,1,0
145,24.0515005706259,22.9572134989131,0,0
146,20.4008903738584,20.6091960585002,0,0
147,19.9841347853566,18.6583174506251,0,0
148,21.7335809415085,25.7719911661061,0,1
149,21.4614166977798,22.1763742371255,0,0
150,21.2146528875918,24.6085365083268,0,0
151,22.0526421052834,22.9147088047428,0,0
152,24.4084513835596,21.7255367451777,0,0
153,19.0898783593353,18.1564678708839,0,0
154,23.5636300415573,22.8272835984886,0,0
155,17.7543253263893,20.8471892200826,0,0
156,22.9168827741951,21.276720310794,0,0
157,26.7404873177879,20.3277808438936,1,0
158,24.759438634989,20.2270965485854,0,0
159,25.6995063984352,19.6933931455763,1,0
160,20.3760926891669,18.7011922833785,0,0
161,22.7599479970048,22.3125780226351,0,0
162,23.8552831129107,16.1843667483702,0,0
163,23.4902369773781,21.320185544164,0,0
164,18.4093042098099,25.7981405850789,0,1
165,24.9057689119832,19.9086113278091,0,0
166,23.113893861765,27.1003300972796,0,1
167,23.2532239141538,26.7163620824098,0,1
168,21.2235918417811,23.0754965778589,0,0
169,21.0968560366132,22.1119863800715,0,0
170,25.0755264157179,23.9152559093313,1,0
171,20.4496545727366,23.9179485823875,0,0
172,22.7868165897639,21.9792451081337,0,0
173,18.3425368050305,22.4858117182527,0,0
174,19.3640806071661,18.7891337295455,0,0
175,19.3266363663917,22.3501618322317,0,0
176,18.3943970904663,24.0018980302308,0,0
177,20.6510765125228,22.2919495583799,0,0
178,19.5974410285152,23.293399055256,0,0
179,22.1816228205665,21.2403381121762,0,0
180,19.9662371757703,23.677853026603,0,0
181,21.9870969018093,21.3069397956487,0,0
182,25.8033697531748,26.4549129076382,1,1
183,20.6840087874524,15.5771387594682,0,0
184,24.3819641314155,10.4170258306569,0,0
185,25.1371776451251,25.4290496545821,1,1
186,23.8741910445941,24.0899961518295,0,0
187,20.1773940989166,24.673998522202,0,0
188,24.8914756376439,19.365692543829,0,0
189,22.5890504467091,18.060986799246,0,0
190,19.3006240136201,20.8467534713585,0,0
191,18.9511250505269,26.7524993010926,0,1
192,24.8202358489782,18.2626743471845,0,0
193,19.0386345711707,24.6506317869753,0,0
194,21.9045148537138,24.164811495344,0,0
195,28.8760328127279,24.9435367326717,1,0
196,21.9246426870148,23.7921940408597,0,0
197,25.0955709523767,20.3226570480123,1,0
198,19.1182735953046,21.9300827929721,0,0
199,23.3243317307816,21.741567891193,0,0
200,23.2924128571827,20.9343219226681,0,0
201,18.6400092811198,24.6876499723106,0,0
202,21.5084776469064,21.7729635536553,0,0
203,22.0511404446356,30.9393901179165,0,1
204,23.3655450938931,26.430959369768,0,1
205,20.6111044031439,24.9251739782095,0,0
206,24.8788645193144,19.0960063817872,0,0
207,22.9646602989299,19.1191302159653,0,0
208,23.6429288300412,20.3394132629285,0,0
209,22.6561033163179,22.1190355260404,0,0
210,20.6096173347544,24.4232025417506,0,0
211,22.5527995980428,24.3901267638268,0,0
212,23.7206107402362,26.667773292164,0,1
213,20.6011191753885,18.7126033902105,0,0
214,25.3389546999252,22.5811659673412,1,0
215,23.3885233099372,16.68950361157,0,0
216,22.8609393762596,24.3781760125745,0,0
217,23.4294384840567,21.0022742739498,0,0
218,22.9593759005843,21.285406537341,0,0
219,23.4987232965496,24.5979900989717,0,0
220,22.8637448758666,25.3213972870765,0,1
221,22.2471885084631,24.2171332039415,0,0
222,24.2220991211922,20.3411118210638,0,0
223,21.6206938225423,24.4203829371994,0,0
224,20.365234326814,24.7602675606904,0,0
225,20.5946308409225,19.3369637902714,0,0
226,23.072861537187,20.9706058182661,0,0
227,24.6476203554793,21.9374246488527,0,0
228,23.9323860397012,17.5391236247684,0,0
229,21.2212068852815,19.6926455059611,0,0
230,22.9021956895215,21.8946957450612,0,0
231,17.2471939014784,23.5078080825945,0,0
232,21.8769534149545,19.357420322472,0,0
233,20.7791497317213,18.4057365266852,0,0
