Architecture,Mean_ms,Max_ms,Std_ms,MissRate_percent
Distributed ECU,21.9595829405912,30.4685036534345,2.35850039343234,9.6
Integrated ECU,22.5337556385222,33.3450667593611,3.28872534617463,22.9
